id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
8195182,6587293,Rachel,Little Italy,32.72219,-117.16893,Entire home/apt,161,2,476,7,15,26
20543597,121129976,Julie,Park West,32.72684,-117.16022,Entire home/apt,155,1,3,1,109,3
7.96E+17,431522034,Tim,Lynwood Hills,32.62869,-117.02919,Private room,54,30,2,2,365,2
33012495,9832430,Ricardo,Park West,32.73068,-117.16443,Entire home/apt,248,1,174,16,151,32
14253455,8875994,Janella,Midtown,32.73747,-117.16073,Entire home/apt,295,30,11,19,214,4
7109810,34393167,Kenny,Loma Portal,32.74449,-117.2409,Entire home/apt,129,3,279,1,319,46
5.54E+17,435067777,Bhupendra,Pacific Beach,32.79789,-117.25012,Entire home/apt,350,30,2,2,173,2
50678195,35602530,Lily,Midtown,32.74047,-117.1618,Private room,90,3,51,5,71,22
25207428,190459926,Cesar,Pacific Beach,32.80569,-117.24301,Entire home/apt,299,2,89,1,204,0
45563477,368929940,Kelekalani,Pacific Beach,32.79897,-117.25628,Entire home/apt,216,7,60,1,70,18
31917256,10981379,Jan,Midtown,32.73852,-117.15979,Entire home/apt,229,2,0,24,4,0
6.23E+17,451666217,Elite Escapes,Midtown,32.73798,-117.16085,Entire home/apt,192,2,0,7,19,0
7.39E+17,470802327,Beachfront Bungalows,Pacific Beach,32.79408,-117.25486,Entire home/apt,164,1,21,9,359,21
8.48E+17,387558696,Dream Vacation Homes,East Village,32.708,-117.15174,Entire home/apt,428,1,0,4,350,0
50707256,408623755,Fir,Park West,32.72379,-117.16063,Entire home/apt,126,1,55,35,325,24
6.11E+17,301775154,Neil,Gaslamp Quarter,32.71489,-117.16037,Entire home/apt,129,2,17,18,322,17
5.73E+17,16912042,Robert,Gaslamp Quarter,32.7136,-117.15957,Entire home/apt,209,14,10,20,364,10
6646955,6587293,Rachel,Little Italy,32.72461,-117.16801,Entire home/apt,147,1,668,7,85,76
53642196,391964118,Taylor,Little Italy,32.72684,-117.16951,Entire home/apt,222,2,62,4,224,56
6.10E+17,121784457,Elcim,East Village,32.7153,-117.15361,Entire home/apt,155,30,1,17,364,1
5.93E+17,42021091,Red,Core,32.718414,-117.158043,Entire home/apt,315,1,9,1,118,9
46777836,145889051,Fabricio,Ocean Beach,32.75116,-117.24886,Entire home/apt,120,7,2,1,0,0
103841,541128,Florence,North City,32.95948,-117.23468,Private room,79,2,135,1,22,20
45173066,10407935,Meng,Mission Bay,32.7827,-117.25323,Private room,155,1,74,3,0,22
7.68E+17,18520201,Cristi,Rolling Hills Ranch,32.6767212,-116.9385574,Entire home/apt,120,31,0,1,325,0
37692898,109925524,Ivy,Carmel Valley,32.9451,-117.23159,Entire home/apt,128,30,14,2,221,6
2303470,10704914,Erin,Talmadge,32.765217,-117.093178,Entire home/apt,176,4,310,2,323,47
7.83E+17,524951,Laura,Grantville,32.78941,-117.10683,Entire home/apt,130,31,0,1,280,0
6033212,8925777,Laurie & Andy,Kensington,32.76057,-117.10382,Entire home/apt,156,3,181,3,205,33
18043608,91375454,Louise,Loma Portal,32.74337,-117.2478,Entire home/apt,150,3,186,1,83,12
13192599,73849443,Chris,Mission Bay,32.79209,-117.24309,Entire home/apt,189,2,250,1,114,22
1815604,9444320,Kenia Siqueira,Pacific Beach,32.80423,-117.23939,Private room,79,28,83,7,302,6
9137186,9296727,Jesse,Midtown,32.7382,-117.16097,Entire home/apt,216,1,0,2,0,0
7331481,37353287,Nancys,Pacific Beach,32.79703,-117.25524,Entire home/apt,268,4,40,61,304,7
53336542,208087084,Anthony And Martha,Pacific Beach,32.80365,-117.25153,Entire home/apt,148,3,36,16,266,27
5.93E+17,8925187,Katie,Mission Bay,32.791897,-117.245888,Entire home/apt,375,30,5,1,363,5
7.67E+17,193530257,Kevin,Loma Portal,32.74415,-117.24478,Entire home/apt,490,32,0,4,238,0
19381741,135858375,Cc,Loma Portal,32.74443,-117.2405,Entire home/apt,108,2,159,2,227,31
52900622,2401501,Kevin,Encanto,32.71158,-117.05887,Entire home/apt,112,1,134,1,236,91
6.94E+17,106217357,Sara,San Ysidro,32.54836,-117.05255,Entire home/apt,443,2,28,1,141,28
8.44E+17,499662709,Mason,Pacific Beach,32.799119,-117.2502006,Entire home/apt,352,3,0,27,162,0
8.25E+17,492305565,Ocean Sands Vacation Rentals,La Jolla,32.83149287,-117.2801584,Entire home/apt,418,3,2,7,142,2
7.85E+17,491850297,Chid,East Village,32.70786,-117.15866,Entire home/apt,306,2,3,15,308,3
6.30E+17,18698598,Ryan,Gaslamp Quarter,32.71213,-117.15958,Entire home/apt,266,1,37,12,130,37
34723816,261909371,Chris,North Hills,32.74791,-117.13542,Entire home/apt,132,14,122,2,0,10
48084390,157545661,Moises,Balboa Park,32.71861,-117.14049,Entire home/apt,215,1,2,1,0,0
7.46E+17,13811367,Helen,Kearny Mesa,32.82648,-117.13561,Private room,85,2,9,1,80,9
49637747,156086844,Southern California Rentals,Loma Portal,32.74855,-117.2189,Entire home/apt,285,1,2,24,212,0
26076660,29294409,Dylan,Normal Heights,32.76772,-117.12245,Entire home/apt,188,2,53,2,82,26
53770375,432939989,James,University City,32.87349,-117.20462,Entire home/apt,221,2,25,11,350,19
8.35E+17,25163604,Randy,San Carlos,32.8136964,-117.0597095,Private room,68,1,0,1,61,0
9299848,48279091,Roberta,University City,32.85768,-117.20383,Private room,99,1,2,2,365,2
52658877,364420393,Kimberly,Paradise Hills,32.6744,-117.06285,Private room,75,2,31,2,144,26
7.81E+17,165386853,Kara,West University Heights,32.753699,-117.1514618,Entire home/apt,135,31,0,1,144,0
6.91E+17,277882529,Juan And Connie,Paradise Hills,32.67433,-117.06028,Entire home/apt,129,1,9,2,164,9
30155935,104726501,Michael,Serra Mesa,32.80233,-117.12396,Entire home/apt,352,31,0,1,358,0
6.44E+17,20239832,Luis,Northwest,32.646076,-117.0789254,Entire home/apt,101,3,24,1,123,24
6.26E+17,234239181,Yumi,City Heights West,32.75518,-117.11903,Entire home/apt,90,1,24,21,357,24
3068306,15614844,Bob,Old Town,32.74905,-117.19281,Entire home/apt,259,2,89,1,346,10
7.86E+17,401278868,Nicole And Joe,Gaslamp Quarter,32.71065686,-117.159979,Private room,55,1,3,13,332,3
31419142,35390479,Eder,City Heights East,32.7305,-117.10001,Entire home/apt,158,2,230,2,15,55
28221767,213158588,Angie,Mission Bay,32.78298,-117.25258,Entire home/apt,325,4,108,1,177,32
40509379,65252786,Rich And Ruby,Midtown,32.74378,-117.17728,Entire home/apt,141,3,99,1,91,34
49095158,126644161,Evolve,Gaslamp Quarter,32.70828,-117.16057,Entire home/apt,149,30,0,83,294,0
6.61E+17,447660947,Lee,Mission Bay,32.79171,-117.23179,Entire home/apt,206,2,5,3,362,5
22472622,100306999,Taylor,Pacific Beach,32.80533,-117.25439,Private room,96,2,40,1,34,34
10031908,51501892,Conor,Pacific Beach,32.79763,-117.24985,Private room,113,2,128,2,24,6
6.15E+17,13863280,Darreca,Normal Heights,32.75865,-117.12505,Entire home/apt,114,3,0,1,363,0
21175991,25320944,Maggie,South Park,32.7163,-117.12859,Entire home/apt,99,1,664,3,58,110
32763686,246277705,Luis,Bay Terrace,32.67476,-117.03922,Entire home/apt,300,2,0,1,0,0
3192233,16179641,Fabrice,Pacific Beach,32.79647,-117.23658,Private room,119,3,160,2,51,4
8.11E+17,86162574,Lynn,Balboa Park,32.7171558,-117.1362821,Entire home/apt,379,1,0,2,256,0
6.84E+17,152099471,Edward,La Jolla Village,32.85701,-117.23406,Private room,59,31,1,4,30,1
23853868,52179214,Kyle,North Hills,32.75325,-117.13755,Entire home/apt,110,1,1,1,0,0
53256016,272191163,Danny And Michelle,Midtown,32.74243,-117.16853,Entire home/apt,207,2,54,7,113,44
31561794,40734550,Kelsi,Midtown,32.73268,-117.16733,Entire home/apt,403,2,103,2,57,16
9541758,874690,Kathi,Grant Hill,32.71114,-117.14513,Entire home/apt,110,2,405,1,206,52
27163592,37165995,Christina,Midtown,32.7459,-117.16695,Entire home/apt,159,3,166,1,39,25
6.20E+17,456018927,Vacasa California,Pacific Beach,32.79224,-117.25281,Entire home/apt,437,3,14,4,365,7
6.55E+17,270083233,Shore,La Jolla,32.8451527,-117.2722731,Entire home/apt,151,2,27,6,64,27
53185307,429429981,Vacasa California,Ocean Beach,32.74847,-117.25053,Entire home/apt,407,3,19,122,361,13
5.90E+17,126644161,Evolve,Midtown,32.73712,-117.16172,Entire home/apt,106,30,1,83,97,1
46177789,140336395,Sohela,Mission Bay,32.77889,-117.2514,Entire home/apt,180,2,106,2,250,47
18734309,123652135,Anton,Pacific Beach,32.79783,-117.25619,Entire home/apt,257,2,24,1,83,4
9077973,17168667,Emily,Ocean Beach,32.75037,-117.2498,Entire home/apt,185,2,338,6,64,36
22669939,204284742,Lisa,Mission Bay,32.77188,-117.24943,Entire home/apt,136,7,122,12,66,22
23966406,167309906,Katrina,East Village,32.71146,-117.15848,Entire home/apt,183,1,136,14,210,45
52604087,74336050,Nel,Linda Vista,32.7728,-117.172,Private room,54,5,12,4,0,11
52783848,368479026,Morganne,East Village,32.70885,-117.15383,Entire home/apt,77,30,1,1,155,1
