id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,number_of_reviews_ltm
958,1169,Holly,Western Addition,37.77028,-122.43317,Entire home/apt,202,2,383,1,128,59
5858,8904,Philip And Tania,Bernal Heights,37.74474,-122.42089,Entire home/apt,235,30,111,1,365,0
8739,7149,Ivan & Wendy,Mission,37.7603,-122.42197,Private room,110,1,770,2,159,34
10537,36752,Teresa,Bayview,37.7175,-122.39698,Private room,95,1,19,2,365,1
142177,656263,Noreen,Outer Richmond,37.7844,-122.47932,Entire home/apt,259,5,234,1,32,13
490931,1269188,Maureen,Bernal Heights,37.74766,-122.42041,Private room,100,30,80,1,331,1
10578,37049,Andrew,Nob Hill,37.79249,-122.41499,Entire home/apt,79,30,18,1,230,0
491867,969518,Sona,Western Addition,37.77196,-122.43477,Entire home/apt,425,2,56,1,7,14
12522,18431,Brenda,Castro/Upper Market,37.76237,-122.42992,Private room,99,3,446,1,7,19
18231,70224,Arlene Helfand,Noe Valley,37.74916,-122.42971,Entire home/apt,95,30,69,1,192,2
144978,216682,Jay,Pacific Heights,37.79233,-122.42431,Private room,55,30,121,9,55,1
147443,709325,Mark,Diamond Heights,37.74633,-122.44591,Entire home/apt,167,30,112,5,262,2
493889,2439917,Germaine,Outer Mission,37.72833,-122.44125,Entire home/apt,235,4,102,1,352,18
18904,72464,Patrick,Western Addition,37.77247,-122.43301,Private room,116,2,443,1,56,29
494111,252927,Vivian,Outer Richmond,37.77988,-122.48488,Entire home/apt,140,3,222,2,312,29
148627,709325,Mark,Marina,37.79961,-122.42771,Entire home/apt,85,30,118,5,215,4
21334,81455,Joe,Nob Hill,37.7962,-122.41562,Entire home/apt,149,30,124,1,357,2
148769,709325,Mark,Twin Peaks,37.75045,-122.44956,Entire home/apt,70,30,96,5,241,2
149108,719538,Margaret,Haight Ashbury,37.76216,-122.45022,Entire home/apt,180,30,3,1,79,1
501770,2475480,Arthur,Haight Ashbury,37.77252,-122.43846,Entire home/apt,220,30,110,5,64,2
23611,18732,Cecilia,Bernal Heights,37.74537,-122.41226,Entire home/apt,286,5,261,1,49,7
503362,2475480,Arthur,Haight Ashbury,37.77265,-122.43857,Entire home/apt,350,30,116,5,64,1
504146,2486135,Laura,Marina,37.80489,-122.43746,Entire home/apt,295,2,111,1,64,12
505530,698337,Emily,Bernal Heights,37.74154,-122.4086,Entire home/apt,240,30,13,2,142,3
150347,172182,Brian & Leah,Mission,37.75981,-122.4188,Entire home/apt,158,30,131,2,159,2
166199,792371,Matt,Castro/Upper Market,37.76241,-122.43026,Entire home/apt,170,30,159,1,89,0
166771,794467,Patti,Haight Ashbury,37.76973,-122.44695,Entire home/apt,150,30,170,1,114,3
24463,99128,Cathryn,Potrero Hill,37.75565,-122.40125,Private room,169,2,354,2,228,37
175090,127367,Michelle,Financial District,37.79203,-122.40284,Entire home/apt,120,30,26,6,307,1
175102,127367,Michelle,Chinatown,37.79175,-122.4045,Entire home/apt,130,30,54,6,255,1
511991,723220,Helena,Financial District,37.79138,-122.39761,Entire home/apt,390,31,1,1,300,0
24723,100800,Cynthia,Pacific Heights,37.78897,-122.43376,Entire home/apt,192,5,405,2,38,34
25094,103339,Bruce,Glen Park,37.74159,-122.43159,Private room,165,5,60,1,346,9
519796,2019559,Suzette,Russian Hill,37.801,-122.42436,Entire home/apt,126,31,79,1,270,0
183859,882283,Stephen,Glen Park,37.73604,-122.43777,Entire home/apt,249,3,320,1,276,36
27028,7149,Ivan & Wendy,Mission,37.76005,-122.42208,Private room,164,1,26,2,0,0
522273,2568946,Kymberli,Bayview,37.73852,-122.39215,Private room,62,30,11,1,88,0
29373,126263,Cecilia,Bernal Heights,37.73871,-122.41167,Entire home/apt,160,7,18,2,64,1
530857,2607120,Gregory,Excelsior,37.71727,-122.43644,Private room,85,2,38,2,331,7
531151,2608908,Jennifer,Bernal Heights,37.73466,-122.41694,Entire home/apt,423,3,24,1,29,4
193292,937281,Lauren&Sarah,Noe Valley,37.75117,-122.42567,Private room,120,30,63,1,217,0
29557,126036,Gigi,Outer Richmond,37.77885,-122.50534,Entire home/apt,175,2,112,1,277,22
201313,984585,Robb,North Beach,37.80356,-122.40437,Entire home/apt,175,30,3,1,87,0
32414,140251,Lisa,Bernal Heights,37.74038,-122.41327,Entire home/apt,150,30,94,1,155,0
207980,1023546,Bruce,Diamond Heights,37.74325,-122.43756,Entire home/apt,295,2,556,1,212,62
537133,127367,Michelle,Castro/Upper Market,37.75714,-122.43419,Entire home/apt,97,30,7,6,298,2
33578,145258,Kepa,Potrero Hill,37.76451,-122.39643,Entire home/apt,290,1,710,2,344,63
545685,2676602,Su,Outer Richmond,37.77502,-122.48035,Entire home/apt,79,2,1002,2,39,93
208714,1027819,Ac,Downtown/Civic Center,37.78897,-122.41245,Entire home/apt,148,30,78,1,365,0
39418,169184,Therese And Nelson,Bernal Heights,37.741,-122.42018,Entire home/apt,85,30,26,2,158,4
208831,1028577,Peter,Russian Hill,37.80121,-122.41339,Entire home/apt,164,3,568,1,25,40
209514,1032643,Josh,Haight Ashbury,37.77255,-122.44985,Private room,69,1,585,5,358,43
555596,1772044,Judy,Noe Valley,37.74402,-122.43729,Entire home/apt,103,5,152,2,56,7
40092,172182,Brian & Leah,Mission,37.7617,-122.41887,Entire home/apt,116,30,104,2,135,3
561148,2758480,Steve,Inner Richmond,37.77689,-122.45594,Entire home/apt,468,3,37,1,3,7
212783,1032643,Josh,Haight Ashbury,37.77085,-122.44814,Private room,69,1,562,5,345,52
41055,178043,Chas,Castro/Upper Market,37.76123,-122.43326,Entire home/apt,175,4,79,1,4,16
213532,1032643,Josh,Haight Ashbury,37.77175,-122.45012,Private room,69,1,644,5,340,69
561602,2760904,Matthew,Bernal Heights,37.74403,-122.41755,Private room,80,4,246,1,67,39
41423,180715,Dana,Glen Park,37.7369,-122.43451,Entire home/apt,125,30,155,1,338,2
563887,2772791,Bob,Haight Ashbury,37.7592,-122.44888,Entire home/apt,275,5,16,1,95,4
218567,1130612,Marin,Western Addition,37.78618,-122.43209,Entire home/apt,250,30,89,1,181,2
41609,54299,Peter,Downtown/Civic Center,37.78887,-122.41306,Entire home/apt,165,30,27,1,274,4
568161,2795397,Beth,Outer Mission,37.73218,-122.43726,Private room,72,2,396,1,107,15
42060,183862,Cole,Western Addition,37.76962654,-122.432104,Entire home/apt,105,30,6,1,32,0
220418,1032643,Josh,Haight Ashbury,37.77031,-122.44948,Private room,69,1,534,5,348,46
44032,98733,David + Tina,Mission,37.75158,-122.41158,Entire home/apt,99,30,300,1,58,5
229319,12798954,Anya,Bernal Heights,37.73825,-122.41451,Entire home/apt,239,5,27,2,145,9
571142,2072534,Adam,Inner Sunset,37.76459,-122.45483,Entire home/apt,199,30,47,1,74,2
232060,1214006,Syl & Art,Inner Sunset,37.75893,-122.4664,Entire home/apt,99,30,113,1,247,0
47682,216682,Jay,Pacific Heights,37.79186,-122.42429,Entire home/apt,125,30,34,9,365,3
238204,1248132,"Jennifer, Maria , Andrew",Parkside,37.74228,-122.50415,Entire home/apt,140,2,278,1,230,30
585326,2676602,Su,Outer Richmond,37.77547,-122.48116,Entire home/apt,85,2,914,2,91,95
589767,1692184,Joe & Katrina,Russian Hill,37.79769,-122.41155,Entire home/apt,275,7,27,3,335,2
51773,216682,Jay,Pacific Heights,37.79373,-122.42507,Private room,57,30,166,9,293,0
256176,976125,Eva,Inner Richmond,37.77713,-122.456,Private room,102,2,437,1,319,46
53280,126263,Cecilia,Bernal Heights,37.73805,-122.41165,Private room,95,3,145,2,218,0
591431,727246,Erika,Mission,37.75,-122.4235,Entire home/apt,450,1,18,1,0,2
54518,255971,Kathy,Financial District,37.79337,-122.40198,Entire home/apt,132,30,21,1,156,2
592883,1776403,Natallia,Mission,37.75594,-122.41105,Private room,90,7,73,5,159,14
258873,1360620,Debbie,North Beach,37.80023,-122.40844,Private room,100,2,417,2,121,34
269463,1244308,Lawrence,Haight Ashbury,37.76761,-122.45139,Entire home/apt,250,2,173,1,62,14
54634,216682,Jay,Pacific Heights,37.79352,-122.42649,Entire home/apt,95,30,49,9,311,3
55636,262875,Paul,Twin Peaks,37.74778,-122.44566,Entire home/apt,110,30,28,3,338,0
56621,216682,Jay,Pacific Heights,37.79183,-122.42425,Private room,60,30,127,9,256,0
593253,2929255,Trevor,Western Addition,37.7699,-122.42917,Private room,95,5,392,1,241,23
57561,272890,Theodore,Bernal Heights,37.74684,-122.41548,Entire home/apt,178,30,223,1,310,2
596042,216682,Jay,Pacific Heights,37.79361,-122.42469,Private room,60,30,101,9,353,0
271602,1421296,Richard,South of Market,37.77907,-122.40503,Entire home/apt,103,30,117,1,134,6
57676,142882,Jessica And Sebouh,Mission,37.75758,-122.42043,Private room,99,30,122,2,0,0
271647,1421509,Matthew,Outer Sunset,37.75334,-122.50794,Private room,60,30,135,2,0,0
273530,99128,Cathryn,Potrero Hill,37.75533,-122.39927,Entire home/apt,316,4,35,2,0,1
59702,287136,Toby,Bernal Heights,37.74188,-122.4127,Private room,150,30,192,1,145,0
604221,2991110,Jerry,Downtown/Civic Center,37.78239,-122.41833,Entire home/apt,76,30,23,3,33,1
